user_id,ad_id,timestamp,click_through_rate,conversion_rate,view_time,cost_per_click,ROI,hour_of_day,day_of_week,is_weekend,age_group_encoded,engagement_level_encoded,device_type_Mobile,device_type_Tablet,location_Germany,location_India,location_UK,location_USA,gender_Male,content_type_Text,content_type_Video,ad_topic_Electronics,ad_topic_Fashion,ad_topic_Health,ad_topic_Travel,ad_target_audience_Fitness Lovers,ad_target_audience_Tech Enthusiasts,ad_target_audience_Travel Lovers,ad_target_audience_Young Adults
467,A7924,2025-12-19 13:37:31,0.1170970608989082,0.0241,52,0.13,2.17,13,4,0,4,5,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
276,A1240,2025-07-25 18:38:14,0.0237650342169603,0.1241,25,0.96,0.31,18,4,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
927,A2258,2025-02-01 20:29:49,0.0461042590865851,0.0131,43,1.13,0.05,20,5,1,1,5,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0
796,A7126,2025-06-15 21:46:17,0.1198517728561564,0.1305,54,0.37,4.23,21,6,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
802,A1402,2025-07-10 13:18:53,0.0759397575873877,0.0291,50,0.89,0.25,13,3,0,0,10,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
320,A3832,2025-02-01 19:23:34,0.0911155174821612,0.0113,17,0.53,0.19,19,5,1,2,2,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
648,A9109,2025-10-04 07:13:07,0.1454356997128406,0.0648,53,1.48,0.64,7,5,1,4,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
934,A2318,2025-07-29 11:42:00,0.0136621176600076,0.113,38,0.89,0.17,11,1,0,3,10,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
374,A8961,2025-06-03 04:04:12,0.0833073786567041,0.0373,12,1.24,0.25,4,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,A4632,2025-06-12 12:05:55,0.1016211120482387,0.0578,60,0.74,0.79,12,3,0,0,10,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
821,A8130,2025-06-15 07:12:41,0.0313738171876618,0.1455,21,0.7,0.65,7,6,1,4,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1
860,A2295,2025-02-08 08:21:58,0.1448433490657889,0.0603,16,0.12,7.28,8,5,1,2,10,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
950,A7968,2025-05-05 11:12:01,0.0375909599911832,0.0749,49,0.97,0.29,11,0,0,1,5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
945,A2938,2025-03-12 06:36:32,0.0991294884307476,0.0831,32,0.37,2.23,6,2,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0
456,A7739,2025-11-14 22:24:24,0.025016506512885,0.0951,41,1.45,0.16,22,4,0,1,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
139,A7129,2025-07-19 00:29:59,0.0706486667715945,0.0687,44,0.38,1.28,0,5,1,4,10,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
763,A2797,2025-08-21 20:50:08,0.0415100420435041,0.0151,13,1.22,0.05,20,3,0,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
327,A7625,2025-12-07 10:13:39,0.0399266762561268,0.0386,57,0.73,0.21,10,6,1,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
754,A9933,2025-11-24 20:58:10,0.0700303268095319,0.087,50,0.62,0.98,20,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
440,A4559,2025-03-24 06:39:40,0.0953895380604325,0.1294,48,0.43,2.87,6,0,0,3,2,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
656,A2109,2025-06-05 08:11:37,0.0503926293259128,0.1436,56,0.16,4.52,8,3,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
772,A7168,2025-10-11 00:11:09,0.0743215662065149,0.0571,42,1.23,0.35,0,5,1,4,10,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
989,A7213,2025-01-09 15:27:05,0.065197979289637,0.1387,21,0.41,2.21,15,3,0,0,10,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
678,A4562,2025-12-14 19:17:17,0.1192168705080813,0.0418,51,1.17,0.43,19,6,1,2,10,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0
858,A9097,2025-12-10 05:19:42,0.0623548034785709,0.0218,40,0.85,0.16,5,2,0,1,2,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0
552,A8996,2025-12-26 01:38:56,0.0700361169722352,0.0185,47,0.26,0.5,1,4,0,3,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
260,A5128,2025-10-28 20:50:19,0.0510685777419979,0.052,16,1.46,0.18,20,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
910,A9235,2025-12-25 18:19:25,0.0904034830723639,0.1314,14,0.45,2.64,18,3,0,4,10,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1
980,A1459,2025-10-13 12:00:41,0.0679811019952962,0.0385,58,1.36,0.19,12,0,0,0,5,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
560,A4001,2025-06-04 21:23:26,0.0597246576737512,0.0454,47,0.7,0.39,21,2,0,1,10,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
707,A4503,2025-10-14 23:33:21,0.0679057647446701,0.0502,26,1.09,0.31,23,1,0,3,10,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
262,A9752,2025-07-20 12:46:21,0.0661921018805856,0.0773,48,1.19,0.43,12,6,1,2,2,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
311,A5788,2025-08-15 23:57:49,0.0102806553037994,0.1073,60,1.07,0.1,23,4,0,1,5,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
268,A1680,2025-08-05 18:16:35,0.0557325970682999,0.0853,12,0.57,0.83,18,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0
283,A6339,2025-02-04 05:31:10,0.0571904087812167,0.1456,43,0.31,2.69,5,1,0,1,5,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
400,A4473,2025-03-03 04:03:32,0.044489666871486,0.1217,17,0.33,1.64,4,0,0,4,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
329,A8525,2025-12-12 23:40:05,0.10092255324009,0.0461,19,0.94,0.49,23,4,0,2,5,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
748,A7970,2025-11-11 01:45:17,0.0557914943452112,0.0874,52,0.37,1.32,1,1,0,3,5,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
562,A2537,2025-05-29 09:37:52,0.0617432603094842,0.1241,33,0.26,2.95,9,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
231,A8957,2025-05-02 13:40:28,0.0452714443123447,0.1148,30,0.41,1.27,13,4,0,2,10,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
406,A6358,2025-07-28 14:09:06,0.1216716862220606,0.0902,42,0.4,2.74,14,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
451,A5802,2025-02-20 22:55:11,0.0764490204453944,0.0759,56,0.94,0.62,22,3,0,3,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
244,A7590,2025-05-12 15:21:27,0.0915796428485405,0.0594,27,1.13,0.48,15,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
686,A6648,2025-12-07 04:19:12,0.0437710003976582,0.0512,52,1.07,0.21,4,6,1,1,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
882,A5902,2025-02-12 20:04:31,0.0414823203220691,0.1311,41,0.79,0.69,20,2,0,2,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
463,A8339,2025-06-15 10:02:24,0.0241219956600999,0.1278,41,1.03,0.3,10,6,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
784,A6580,2025-01-19 07:27:27,0.0546900892359117,0.041,49,1.34,0.17,7,6,1,2,10,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
790,A1404,2025-06-06 05:20:50,0.0467319582523594,0.0908,46,0.65,0.65,5,4,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
292,A9976,2025-12-14 21:29:38,0.0967989088921937,0.1412,32,1.15,1.19,21,6,1,1,10,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
504,A5519,2025-11-18 13:25:41,0.1292269910420535,0.0925,12,1.43,0.84,13,1,0,4,2,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
927,A5619,2025-08-28 02:14:47,0.142813100674306,0.0453,13,0.88,0.74,2,3,0,2,2,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
129,A4493,2025-05-29 19:40:29,0.1166093073947572,0.1248,53,0.21,6.93,19,3,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
508,A1075,2025-09-03 05:19:13,0.013925758805978,0.0656,16,0.82,0.11,5,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
802,A9863,2025-07-02 13:31:20,0.1166772961095626,0.0431,23,0.91,0.55,13,2,0,2,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
617,A3093,2025-11-16 22:29:39,0.0300110394148014,0.1108,47,0.27,1.23,22,6,1,2,10,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
480,A9560,2025-03-14 20:32:30,0.1434258868755582,0.1401,51,0.25,8.04,20,4,0,2,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1
325,A1175,2025-06-03 10:40:04,0.0263489493437827,0.1155,36,1.13,0.27,10,1,0,3,5,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1
678,A9301,2025-02-07 09:17:49,0.0578118716108513,0.0932,11,0.43,1.25,9,4,0,1,10,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0
618,A9759,2025-12-18 11:57:39,0.1339858171151352,0.0793,52,1.46,0.73,11,3,0,1,10,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0
913,A2150,2025-09-05 12:07:01,0.1202473452439073,0.0122,28,1.08,0.14,12,4,0,1,10,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
294,A7951,2025-11-10 07:36:21,0.0343085260331081,0.0581,33,0.48,0.42,7,0,0,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
209,A4295,2025-10-11 19:16:08,0.1397113574523678,0.1394,25,0.65,3.0,19,5,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
832,A6389,2025-12-01 19:17:04,0.0184919328755501,0.0433,13,0.53,0.15,19,0,0,3,10,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
222,A1622,2025-10-08 21:15:37,0.0742085751168462,0.065,54,0.59,0.82,21,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
216,A1545,2025-02-05 11:54:22,0.0857575131122359,0.1297,28,0.54,2.06,11,2,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
199,A7371,2025-09-29 16:35:50,0.1468900423184969,0.0999,53,0.66,2.22,16,0,0,4,5,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
359,A8563,2025-05-09 02:26:57,0.0922967530946645,0.0884,58,0.64,1.27,2,4,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
668,A8620,2025-03-22 10:15:16,0.1329700718613114,0.0805,43,0.25,4.28,10,5,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
954,A9020,2025-07-15 10:18:55,0.1074911741722425,0.0142,17,0.46,0.33,10,1,0,4,2,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1
346,A4409,2025-01-12 20:57:00,0.1210640746978014,0.0538,45,1.24,0.53,20,6,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
496,A9140,2025-09-19 05:36:51,0.0991689575761592,0.046,42,1.33,0.34,5,4,0,3,10,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
644,A3606,2025-04-17 05:02:52,0.0780837284733477,0.0482,37,0.18,2.09,5,3,0,1,10,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0
751,A7914,2025-09-12 02:20:01,0.1057257793540308,0.0642,13,0.95,0.71,2,4,0,3,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0
587,A5251,2025-02-09 00:14:10,0.089120869404058,0.0748,43,0.48,1.39,0,6,1,1,10,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
285,A2721,2025-04-22 02:25:44,0.1123192472141379,0.0108,28,0.97,0.13,2,1,0,1,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
649,A6703,2025-05-06 08:13:16,0.1366083882180836,0.0748,10,0.49,2.09,8,1,0,3,10,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
651,A6419,2025-01-12 01:51:56,0.123496163790359,0.0194,27,1.19,0.2,1,6,1,2,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
582,A9747,2025-01-04 13:38:09,0.1222866372250519,0.0918,18,0.94,1.19,13,5,1,3,2,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
720,A9042,2025-07-05 01:57:35,0.0293799813613512,0.0585,35,0.17,1.01,1,5,1,4,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
972,A5257,2025-07-16 13:17:50,0.0322545514830639,0.0469,23,1.41,0.11,13,2,0,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
619,A9724,2025-09-07 04:09:39,0.0990807974638001,0.1495,50,0.74,2.0,4,6,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
236,A4705,2025-03-08 07:20:52,0.0973290999507155,0.0657,54,0.35,1.83,7,5,1,0,5,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0
554,A7039,2025-02-28 14:29:56,0.0791893435025739,0.0969,15,1.43,0.54,14,4,0,4,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
670,A6525,2025-11-03 04:21:37,0.1138070826655656,0.0539,15,0.31,1.98,4,0,0,3,10,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
973,A7073,2025-03-14 16:05:08,0.0451672055417966,0.0825,60,1.01,0.37,16,4,0,3,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
963,A2131,2025-09-09 16:38:13,0.1047472685152825,0.0416,31,1.16,0.38,16,1,0,3,2,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1
134,A9460,2025-12-01 19:19:57,0.1165279760852072,0.0373,20,0.41,1.06,19,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
204,A3233,2025-07-11 03:54:46,0.147712431310261,0.1066,37,0.91,1.73,3,4,0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
567,A2803,2025-11-27 09:36:50,0.0765335874461034,0.1413,42,1.14,0.95,9,3,0,1,2,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0
597,A7926,2025-02-27 09:19:36,0.0846365595974453,0.0853,11,1.45,0.5,9,3,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0
843,A9044,2025-03-28 21:40:18,0.0694963048436903,0.1317,13,0.7,1.31,21,4,0,3,10,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0
325,A2452,2025-07-02 21:10:24,0.0551289522324875,0.1428,53,1.18,0.67,21,2,0,4,0,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0
951,A1250,2025-03-20 17:36:15,0.1457968891406208,0.0439,57,1.37,0.47,17,3,0,1,10,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1
890,A5864,2025-08-14 06:30:30,0.0452221294147134,0.0803,49,0.7,0.52,6,3,0,1,10,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
228,A1722,2025-10-22 12:21:48,0.0156082110301128,0.0974,12,0.25,0.61,12,2,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
659,A8938,2025-04-15 10:17:58,0.0833418748360709,0.1324,20,0.58,1.9,10,1,0,4,10,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
412,A3026,2025-02-22 19:27:51,0.0679817030888097,0.0607,42,0.98,0.42,19,5,1,2,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
986,A7841,2025-04-26 10:08:39,0.0436427994123556,0.1037,28,1.33,0.34,10,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
618,A8476,2025-04-08 12:45:26,0.0258144906381157,0.0565,30,0.98,0.15,12,1,0,3,10,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0
926,A4093,2025-12-21 03:48:55,0.0564248130332354,0.0302,14,1.39,0.12,3,6,1,2,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
528,A3623,2025-01-25 18:43:54,0.0123228775781474,0.0567,51,0.61,0.11,18,5,1,3,2,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
799,A7922,2025-08-29 02:05:37,0.0677335701112351,0.0446,27,1.46,0.21,2,4,0,3,10,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0
894,A8094,2025-12-20 08:54:19,0.0408957043899819,0.1084,23,1.5,0.3,8,5,1,4,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
912,A5562,2025-01-16 16:29:36,0.1364841778914137,0.1259,17,0.89,1.93,16,3,0,2,5,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
607,A2631,2025-08-22 11:10:34,0.1373153429205112,0.0479,51,0.57,1.15,11,4,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
162,A1931,2025-03-01 02:08:38,0.0656211555506578,0.1138,56,1.49,0.5,2,5,1,4,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
395,A3124,2025-05-17 08:46:06,0.1488706751275913,0.0638,25,0.94,1.01,8,5,1,2,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0
355,A9821,2025-11-21 11:08:36,0.1226902108418874,0.0796,57,0.74,1.32,11,4,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
751,A6797,2025-11-18 02:36:49,0.1497642046629253,0.1255,55,0.64,2.94,2,1,0,2,5,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
340,A2742,2025-07-10 03:34:24,0.1362590249804099,0.1018,14,0.46,3.02,3,3,0,4,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0
866,A1835,2025-11-05 22:48:40,0.064941862064662,0.0981,47,0.82,0.78,22,2,0,0,10,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0
938,A9833,2025-06-17 18:34:27,0.0486318888847351,0.0849,51,1.0,0.41,18,1,0,3,10,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
824,A3278,2025-04-26 02:29:24,0.0955062801542799,0.063,34,0.52,1.16,2,5,1,4,2,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1
411,A9691,2025-11-11 05:02:12,0.144725695337623,0.084,30,0.16,7.6,5,1,0,3,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
163,A4976,2025-01-15 13:52:11,0.0750935446026775,0.0772,47,0.81,0.72,13,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1
615,A5213,2025-02-07 10:08:29,0.0593434489061713,0.1084,56,1.46,0.44,10,4,0,1,2,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
465,A6992,2025-04-28 10:49:22,0.1400709208567472,0.0985,53,1.06,1.3,10,0,0,2,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
278,A9246,2025-12-26 12:45:52,0.0973861435397503,0.084,39,0.84,0.97,12,4,0,3,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
508,A8390,2025-03-31 19:02:04,0.0716443309631641,0.1036,53,0.94,0.79,19,0,0,0,5,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
868,A5308,2025-04-12 22:58:42,0.0314299688667142,0.0488,18,0.42,0.37,22,5,1,4,0,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
648,A5408,2025-08-12 15:43:30,0.0725247024213305,0.1361,15,1.14,0.87,15,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
166,A2102,2025-09-28 04:53:54,0.023599442307206,0.0792,34,1.44,0.13,4,6,1,2,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
231,A3517,2025-04-18 21:21:34,0.0357726536349487,0.082,22,0.41,0.72,21,4,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
727,A8269,2025-12-14 07:51:37,0.0396193349255557,0.0532,16,1.24,0.17,7,6,1,0,2,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0
584,A5944,2025-09-02 21:16:10,0.010971397757088,0.1462,17,0.49,0.33,21,1,0,4,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
341,A6763,2025-06-18 09:50:38,0.1348507241052893,0.067,45,1.27,0.71,9,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
621,A4231,2025-08-06 12:42:49,0.0981680794029434,0.0857,13,1.2,0.7,12,2,0,0,5,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
617,A3334,2025-04-26 23:45:47,0.0834111678974657,0.0262,37,0.98,0.22,23,5,1,4,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
899,A2598,2025-11-17 18:49:22,0.0166355093794128,0.0357,41,0.83,0.07,18,0,0,1,5,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0
798,A8262,2025-06-21 21:34:15,0.0141032414078521,0.0142,53,0.66,0.03,21,5,1,4,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
623,A3813,2025-01-14 17:42:33,0.0989470697376359,0.1145,52,0.2,5.66,17,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0
898,A5005,2025-11-16 05:50:09,0.0135192540224897,0.1019,59,0.95,0.15,5,6,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
118,A8949,2025-08-21 05:53:32,0.083711975001967,0.1155,30,0.68,1.42,5,3,0,4,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
721,A6723,2025-03-16 12:39:26,0.0795389501109284,0.0662,12,0.29,1.82,12,6,1,3,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0
