iteration,n_campaigns,n_ads,total_budget,risk_factor,ga_population_size,ga_max_generations,ga_mutation_rate,ga_crossover_rate,tabu_max_iterations,tabu_tenure,tabu_neighborhood_size,tabu_use_aspiration,tabu_intensification_threshold,tabu_diversification_threshold
116,4,40,21336636.978690334,0.49,80,30,0.19,0.75,30,29,80,True,57,150
117,9,13,47022731.83072953,0.67,91,178,0.08,0.91,178,28,91,True,71,62
118,8,21,41645491.723895304,2.0,46,155,0.11,0.91,155,25,46,True,57,144
119,2,38,12359343.514518477,0.54,61,130,0.29,0.81,130,13,61,True,100,150
120,2,35,9517563.898000143,0.14,40,166,0.26,0.82,166,19,40,True,84,64
121,7,34,29321207.495130166,0.67,23,130,0.13,0.79,130,13,23,True,64,104
122,5,5,26803763.379226927,1.7,52,49,0.14,0.92,49,25,52,True,33,100
123,10,39,51219339.466240704,0.89,10,184,0.23,0.74,184,23,10,True,47,126
124,1,10,7214011.385288543,1.26,11,43,0.27,0.75,43,14,11,True,65,68
125,7,9,28328580.345723927,1.16,45,168,0.15,0.87,168,24,45,True,21,115
126,1,1,3394499.497896618,1.43,92,91,0.2,0.85,91,27,92,True,79,136
127,1,21,4097714.701683959,0.96,39,182,0.24,0.89,182,27,39,True,25,99
128,4,20,20047633.792708132,1.07,24,146,0.12,0.77,146,7,24,True,47,70
129,2,23,2995955.222586244,1.97,75,137,0.23,0.76,137,20,75,True,65,161
130,3,35,19930410.873142164,0.5,33,178,0.19,0.75,178,15,33,True,62,171
131,5,9,18514270.488995038,0.94,17,69,0.18,0.72,69,27,17,True,49,147
132,7,31,37006016.61243838,0.78,18,80,0.24,0.89,80,12,18,True,22,160
133,2,32,5968718.869668309,0.0,20,144,0.28,0.81,144,10,20,True,38,175
134,1,28,6367358.613721897,1.36,87,66,0.2,0.8,66,27,87,True,43,197
135,9,33,41523285.67290964,0.73,41,74,0.08,0.89,74,10,41,True,36,124
136,10,34,43357466.40606825,0.58,42,130,0.24,0.83,130,6,42,True,21,118
137,4,15,19643749.332689453,0.99,46,191,0.25,0.76,191,29,46,True,30,80
138,1,36,7147488.403513731,1.88,91,81,0.3,0.71,81,9,91,True,72,105
139,5,5,20268720.910180658,0.69,67,194,0.18,0.77,194,13,67,True,51,188
140,7,21,37048543.34436933,1.94,38,192,0.2,0.89,192,22,38,True,53,67
141,6,26,22203806.03998885,1.82,56,181,0.25,0.71,181,12,56,True,39,193
142,7,11,32653642.261793356,0.16,91,119,0.21,0.72,119,28,91,True,90,132
143,1,6,6989197.1454269765,1.33,50,44,0.11,0.78,44,27,50,True,93,154
144,6,36,22576026.15696122,0.9,39,23,0.28,0.86,23,18,39,True,93,150
145,5,5,21074680.057627548,1.34,54,42,0.06,0.77,42,30,54,True,40,110
146,9,12,39044888.851400085,1.53,81,164,0.1,0.76,164,24,81,True,62,159
147,7,29,24596626.98054908,1.8,92,116,0.15,0.88,116,27,92,True,30,135
148,3,3,22251767.44374102,0.29,54,63,0.21,0.79,63,6,54,True,59,169
149,1,23,6409683.710045319,0.46,100,105,0.06,0.82,105,6,100,True,31,191
150,2,37,10658501.906347316,1.33,44,167,0.22,0.76,167,11,44,True,60,170
151,3,3,14128344.738256657,1.7,85,87,0.22,0.84,87,24,85,True,23,190
152,2,27,11507674.442593673,0.89,69,119,0.14,0.74,119,7,69,True,39,145
153,2,21,6311042.976547191,0.84,84,65,0.13,0.77,65,8,84,True,38,51
154,6,36,23929263.543135013,0.01,59,79,0.07,0.81,79,7,59,True,87,196
155,8,8,39093915.007103704,1.5,67,96,0.13,0.73,96,17,67,True,62,107
156,8,36,40188189.32386908,1.52,87,21,0.28,0.82,21,21,87,True,49,136
157,9,30,36997191.351549186,0.2,17,96,0.11,0.81,96,27,17,True,26,173
158,5,36,20938926.95165869,0.53,78,159,0.13,0.91,159,14,78,True,98,161
159,2,2,7435373.08941309,0.05,36,77,0.16,0.77,77,11,36,True,76,82
160,8,21,46942099.09644264,0.34,89,101,0.14,0.72,101,22,89,True,59,97
161,7,7,28596616.4727413,1.98,42,34,0.19,0.81,34,10,42,True,39,72
162,2,17,11869883.585966406,0.04,34,77,0.2,0.84,77,7,34,True,83,179
163,2,19,10829294.00653368,0.3,89,51,0.26,0.92,51,16,89,True,89,155
164,7,34,31830616.155704502,0.48,16,96,0.14,0.75,96,20,16,True,41,83
165,1,14,4751800.616178174,1.49,23,172,0.15,0.71,172,6,23,True,86,72
166,4,8,8178075.0851067,1.31,81,150,0.2,0.93,150,16,81,True,94,57
167,5,15,11375810.933580445,1.13,63,54,0.21,0.75,54,7,63,True,51,158
168,2,2,7671574.30301443,1.25,63,54,0.17,0.75,54,11,63,True,42,101
169,1,33,7849697.600747019,1.66,49,186,0.17,0.95,186,16,49,True,56,67
170,9,38,35097607.76577109,0.64,88,77,0.17,0.71,77,26,88,True,35,57
171,10,27,46720979.11869127,0.13,73,54,0.29,0.78,54,7,73,True,42,188
172,10,19,43219551.28657985,1.92,56,26,0.22,0.88,26,6,56,True,49,179
173,10,23,53020914.563673615,1.1,78,101,0.29,0.85,101,18,78,True,26,89
174,7,22,35497458.775802344,1.11,45,59,0.1,0.73,59,27,45,True,61,145
175,8,8,40075202.89940078,1.8,98,177,0.21,0.81,177,5,98,True,50,138
176,1,31,579062.8582351874,1.29,46,167,0.24,0.84,167,24,46,True,51,52
177,5,5,20682352.159944948,0.39,87,118,0.09,0.8,118,6,87,True,56,106
178,3,3,18839068.450053938,1.64,49,65,0.1,0.91,65,25,49,True,85,137
179,10,14,46195724.15681818,1.41,47,50,0.18,0.75,50,23,47,True,83,51
180,3,30,11649982.461544525,0.09,45,53,0.16,0.77,53,10,45,True,76,153
181,1,4,5640047.608906951,0.59,75,21,0.18,0.88,21,22,75,True,27,72
182,1,17,3511521.329411027,1.23,30,115,0.25,0.82,115,18,30,True,52,135
183,4,35,19042688.926716805,1.86,65,120,0.09,0.89,120,26,65,True,53,198
184,3,24,14465820.633904153,0.79,40,135,0.06,0.74,135,13,40,True,59,70
185,1,2,3193739.0007472765,0.55,65,95,0.08,0.76,95,25,65,True,51,154
186,6,20,25594229.16570486,1.07,44,157,0.08,0.87,157,15,44,True,98,73
187,9,30,48866755.03947084,0.62,75,78,0.19,0.7,78,29,75,True,85,98
188,5,31,31274801.62155077,0.99,37,127,0.29,0.88,127,18,37,True,100,192
189,6,6,23050130.910629723,1.41,58,27,0.19,0.79,27,9,58,True,52,96
190,1,5,5876270.074056447,1.25,15,132,0.29,0.84,132,21,15,True,95,65
191,9,10,42905487.55348656,1.73,60,174,0.14,0.87,174,18,60,True,38,178
192,4,30,16627700.48277423,0.19,98,120,0.1,0.74,120,7,98,True,93,154
193,8,33,36925534.365296915,1.56,49,153,0.28,0.71,153,21,49,True,31,158
194,5,14,21052145.00743272,1.92,18,177,0.15,0.93,177,24,18,True,89,148
195,8,22,38656666.29242947,1.04,81,140,0.22,0.72,140,17,81,True,99,170
196,7,26,26565187.724754963,0.39,87,129,0.07,0.89,129,29,87,True,47,86
197,7,37,31848937.329300728,1.68,38,185,0.22,0.87,185,29,38,True,28,189
198,5,17,21559753.678176984,0.65,19,96,0.19,0.91,96,23,19,True,93,110
199,3,3,14783395.165402764,0.77,31,182,0.07,0.85,182,11,31,True,71,113
200,1,14,480575.25079811085,1.61,38,104,0.27,0.81,104,29,38,True,68,143
201,2,2,9958147.886196138,0.65,17,158,0.1,0.71,158,16,17,True,58,200
202,7,9,25655106.854769964,1.98,10,55,0.19,0.82,55,19,10,True,45,72
203,1,40,545538.0295693914,0.86,100,151,0.29,0.8,151,19,100,True,51,91
204,8,39,35279351.11949808,0.89,72,39,0.27,0.85,39,18,72,True,31,96
205,4,4,21828272.606283557,1.42,63,31,0.29,0.86,31,10,63,True,67,163
206,3,3,19600676.080284752,1.85,99,170,0.17,0.93,170,15,99,True,47,127
207,5,29,21434450.361853518,0.3,56,77,0.1,0.82,77,29,56,True,20,64
208,9,12,39385194.78884984,0.46,71,141,0.28,0.84,141,29,71,True,29,103
209,9,9,39433847.71666035,1.53,29,159,0.08,0.75,159,14,29,True,46,55
210,5,8,31221922.86651049,0.65,74,44,0.1,0.94,44,8,74,True,96,63
211,4,23,24218666.1102463,1.09,50,161,0.08,0.85,161,19,50,True,45,75
212,7,23,31439158.960864447,1.6,65,199,0.27,0.74,199,29,65,True,25,71
213,8,23,28687506.657603756,0.44,58,132,0.11,0.84,132,25,58,True,38,115
214,6,25,27711435.745217755,0.7,99,68,0.13,0.7,68,9,99,True,84,168
215,3,3,13041403.081255553,0.56,85,189,0.07,0.73,189,18,85,True,87,111
216,2,7,9831478.967389325,1.34,22,92,0.17,0.75,92,9,22,True,73,125
217,10,17,53085748.40778502,0.98,37,196,0.23,0.94,196,10,37,True,91,122
218,3,39,9328706.130254338,1.83,63,40,0.28,0.89,40,9,63,True,25,115
219,9,12,41658897.41335425,1.15,94,78,0.28,0.94,78,5,94,True,77,59
220,3,17,10487935.83315895,1.84,98,62,0.27,0.72,62,30,98,True,86,189
221,2,17,13209406.081432944,1.07,51,159,0.15,0.89,159,11,51,True,48,162
222,1,16,2641391.222849808,0.24,85,165,0.24,0.79,165,17,85,True,43,85
223,6,26,24011282.60274889,1.83,82,38,0.16,0.95,38,16,82,True,69,93
224,2,2,7783625.429018857,1.01,82,61,0.09,0.83,61,9,82,True,59,79
225,8,26,35472852.29111295,1.75,54,56,0.19,0.71,56,6,54,True,49,129
226,10,16,40600621.88258421,1.5,45,150,0.1,0.82,150,21,45,True,91,74
227,8,25,39775828.08247994,1.64,26,43,0.29,0.94,43,10,26,True,43,90
228,8,23,36702114.78856346,0.06,57,137,0.21,0.78,137,18,57,True,28,200
229,2,31,17052896.093124043,1.27,25,113,0.14,0.76,113,18,25,True,20,181
230,10,23,47843490.890608564,0.02,15,39,0.1,0.8,39,28,15,True,44,76
231,3,40,18702128.293421045,1.15,84,92,0.16,0.71,92,9,84,True,24,96
232,5,33,29360141.70362319,1.44,60,60,0.23,0.93,60,13,60,True,55,92
233,3,21,15814059.345829785,0.28,95,78,0.11,0.75,78,29,95,True,73,144
234,7,30,30277564.340298172,0.7,96,65,0.16,0.93,65,27,96,True,20,101
235,1,23,593988.4607611813,1.56,52,157,0.11,0.85,157,12,52,True,80,176
236,3,30,11197412.027666613,1.33,29,92,0.11,0.85,92,6,29,True,31,153
237,8,34,28806736.00447809,0.65,50,84,0.23,0.9,84,7,50,True,71,119
238,1,1,441789.42119113856,0.22,12,76,0.3,0.83,76,29,12,True,97,163
239,8,32,33955380.82054231,0.91,14,73,0.11,0.88,73,13,14,True,69,200
240,9,24,41027039.85359612,0.28,90,138,0.29,0.75,138,7,90,True,59,77
241,8,8,39851028.31220827,0.45,59,82,0.1,0.83,82,13,59,True,58,132
242,10,32,44331598.5843686,0.87,12,153,0.25,0.89,153,14,12,True,73,173
243,1,17,7277318.855702085,0.54,30,39,0.17,0.82,39,16,30,True,21,78
244,4,8,23209616.066170756,0.38,22,21,0.24,0.92,21,25,22,True,45,94
245,7,7,33099225.53455144,0.2,81,49,0.13,0.82,49,12,81,True,43,114
246,9,23,39399437.74654758,1.55,76,106,0.24,0.78,106,29,76,True,36,187
247,1,27,8565603.799828341,0.79,43,188,0.11,0.78,188,18,43,True,82,163
248,3,20,15267222.097974725,1.05,78,161,0.17,0.88,161,5,78,True,61,189
249,1,12,7599179.077916848,1.67,68,126,0.2,0.81,126,28,68,True,66,188
250,4,27,11251912.954235278,1.69,78,24,0.14,0.82,24,28,78,True,31,109
251,7,39,24084593.976994272,0.41,81,91,0.2,0.83,91,24,81,True,87,183
252,4,34,16814226.32974099,1.7,52,149,0.17,0.72,149,14,52,True,100,132
253,5,16,23083514.21309048,1.54,33,180,0.24,0.72,180,10,33,True,62,146
254,5,23,25822608.460583396,0.97,53,194,0.27,0.77,194,19,53,True,94,81
255,9,33,45092666.38764141,1.84,27,156,0.11,0.72,156,10,27,True,100,82
256,6,13,28184432.358405486,0.73,13,106,0.16,0.84,106,18,13,True,69,157
257,4,13,21036764.0269557,0.85,45,172,0.05,0.77,172,30,45,True,69,96
258,2,10,8962591.946194537,0.8,80,97,0.11,0.87,97,27,80,True,86,98
259,8,21,35218777.328445174,1.98,56,99,0.2,0.71,99,15,56,True,40,64
260,8,27,38282218.39321236,0.5,58,182,0.29,0.75,182,9,58,True,55,61
261,2,3,5307655.062372624,0.76,55,75,0.25,0.87,75,27,55,True,64,130
262,8,36,42279841.392307684,0.51,13,62,0.26,0.85,62,6,13,True,43,141
263,6,18,29150539.40872466,1.44,24,122,0.09,0.83,122,9,24,True,36,59
264,2,3,13073705.690838829,0.05,59,20,0.07,0.93,20,28,59,True,87,114
265,2,17,13655781.29769455,0.58,38,78,0.13,0.78,78,28,38,True,47,130
266,7,24,25944634.456794094,1.85,74,115,0.3,0.81,115,25,74,True,92,182
267,9,15,51635428.57445803,1.94,53,108,0.3,0.85,108,5,53,True,71,172
268,10,33,51249614.631150365,0.35,28,97,0.11,0.82,97,15,28,True,35,196
269,8,31,35079263.432748236,0.91,86,159,0.17,0.84,159,18,86,True,41,90
270,1,11,504338.0205415505,1.22,91,94,0.13,0.76,94,10,91,True,48,146
271,1,1,2741255.4037685194,1.31,39,81,0.14,0.72,81,17,39,True,95,142
272,9,40,51873969.79413066,1.55,65,109,0.12,0.8,109,13,65,True,80,54
273,10,30,53531347.78474408,0.31,89,82,0.07,0.9,82,27,89,True,63,108
274,6,17,23581960.74126493,1.08,81,161,0.26,0.92,161,23,81,True,47,146
275,2,5,13596819.41751133,1.76,37,60,0.26,0.88,60,13,37,True,77,84
276,9,13,42686760.11181699,1.83,23,169,0.13,0.7,169,6,23,True,73,98
277,3,3,10690874.830342637,1.92,81,89,0.1,0.73,89,20,81,True,96,125
278,3,23,15348170.333615243,1.02,28,144,0.25,0.86,144,29,28,True,52,172
279,2,24,12350518.194129001,0.1,51,163,0.2,0.79,163,21,51,True,79,184
280,2,23,16010007.342860457,1.59,56,113,0.25,0.93,113,16,56,True,74,116
281,7,35,28354505.42589936,0.83,40,127,0.17,0.73,127,27,40,True,34,117
282,8,33,43700389.42834895,1.53,19,67,0.17,0.89,67,5,19,True,88,62
283,6,39,30946626.38629876,0.61,95,45,0.1,0.76,45,18,95,True,63,176
284,3,18,11001239.923449075,1.99,18,172,0.16,0.88,172,25,18,True,39,65
285,4,5,9910922.02102079,0.44,68,126,0.1,0.72,126,19,68,True,76,56
286,2,26,9439919.13238653,1.43,27,62,0.2,0.71,62,11,27,True,38,198
287,3,25,11273985.696604956,0.17,25,141,0.22,0.93,141,30,25,True,24,102
288,9,26,41352566.59451179,0.48,59,119,0.17,0.72,119,29,59,True,80,120
289,5,7,22720205.941128556,0.31,97,77,0.19,0.75,77,7,97,True,52,57
290,7,36,36853906.51495077,0.36,93,119,0.16,0.82,119,30,93,True,76,187
291,4,32,19088975.284075435,1.49,63,195,0.21,0.72,195,12,63,True,82,70
292,6,16,28148842.349736217,0.38,96,37,0.21,0.79,37,8,96,True,24,177
293,9,9,42006283.68342776,1.43,51,126,0.14,0.88,126,7,51,True,70,116
294,9,26,45766966.09183512,0.65,20,128,0.05,0.94,128,16,20,True,95,155
295,10,31,45137817.57548909,1.96,93,183,0.2,0.88,183,22,93,True,98,173
296,1,18,3583660.181650191,0.4,83,76,0.28,0.81,76,28,83,True,29,53
297,3,3,18185698.09859729,1.53,54,145,0.22,0.94,145,8,54,True,48,100
298,4,12,12485572.914559482,1.46,99,168,0.11,0.8,168,27,99,True,85,141
299,4,31,15409958.134529298,1.84,25,184,0.17,0.87,184,16,25,True,73,185
300,10,35,49595367.657361835,1.37,29,46,0.23,0.83,46,21,29,True,46,192
301,8,31,38168764.26319921,0.45,36,58,0.2,0.72,58,26,36,True,22,121
302,2,2,11763609.885443222,0.26,11,197,0.19,0.76,197,19,11,True,80,51
303,4,33,27461781.36917926,0.43,80,134,0.1,0.83,134,28,80,True,86,94
304,2,32,14585796.541009583,1.59,19,23,0.24,0.88,23,28,19,True,73,57
305,4,36,24378023.020715408,0.2,64,140,0.05,0.71,140,17,64,True,29,124
306,2,16,9946256.959715622,1.34,97,164,0.18,0.79,164,22,97,True,82,116
307,10,16,41416316.731951356,0.42,92,151,0.11,0.78,151,20,92,True,83,190
308,3,28,14481198.230295809,1.29,13,35,0.19,0.87,35,11,13,True,60,158
309,7,11,36306753.57744886,0.46,50,131,0.07,0.74,131,11,50,True,77,177
310,9,15,37652779.34271919,2.0,94,66,0.22,0.76,66,25,94,True,85,67
311,3,36,15155154.893083733,1.89,90,137,0.06,0.84,137,8,90,True,81,119
312,3,30,18822253.62110336,0.74,35,20,0.15,0.91,20,16,35,True,83,178
313,2,2,10408304.917697841,0.35,16,38,0.28,0.77,38,28,16,True,86,185
314,9,25,51453007.75748702,1.89,90,74,0.12,0.71,74,6,90,True,27,97
315,8,25,29803490.26074727,1.51,37,117,0.17,0.87,117,14,37,True,78,135
316,2,4,10104027.42844126,0.63,34,184,0.14,0.82,184,5,34,True,30,129
317,4,4,22665340.21690132,0.28,47,177,0.07,0.86,177,21,47,True,84,189
318,8,13,41503008.88614383,1.3,30,105,0.06,0.89,105,10,30,True,32,172
319,3,37,19018573.34648528,1.3,27,181,0.27,0.74,181,13,27,True,89,186
320,3,14,9810706.47759707,1.94,21,88,0.17,0.9,88,19,21,True,32,175
321,4,33,25125387.69031615,0.19,95,103,0.26,0.71,103,27,95,True,90,184
322,2,10,11007085.231231315,1.94,80,167,0.26,0.88,167,24,80,True,82,154
323,8,8,39551694.87858647,1.54,85,51,0.24,0.79,51,19,85,True,48,188
324,4,6,8720468.762779932,1.66,43,20,0.2,0.81,20,23,43,True,62,53
325,3,3,8245408.732225085,1.98,46,107,0.2,0.78,107,8,46,True,61,136
326,6,16,35970689.10594533,1.39,94,39,0.21,0.88,39,20,94,True,25,98
327,4,4,16464864.675023183,0.42,81,194,0.2,0.9,194,12,81,True,81,51
